α,β,acc,rec,prec,method_name,size,percentage_of_known_labels,balanced,noise,trial
0.3,0.55,90.96624751819988,90.9430250890243,91.11065437597473,L^2,3560,0.15,true,0.0,1
0.4,0.55,90.96624751819988,90.94211752851922,91.04591531273134,maximum,3560,0.15,true,0.0,1
0.8,0.0,89.47716743878227,89.45066960207649,89.6717650019432,standard,3560,0.15,true,0.0,1
0.9,0.0,89.54334877564527,89.56608864116365,89.66142003399159,p0.5,3560,0.15,true,0.0,1
0.9,0.0,82.62739907346128,82.59849194723735,84.6789588999976,SAGE_Max,3560,0.15,true,0.0,1
0.9,0.0,86.39973527465254,86.47140336589625,86.68192155944693,SAGE_GCN,3560,0.15,true,0.0,1
0.8,0.1,91.56118143459916,91.56845529916404,91.74766670464135,geometric,3560,0.2,true,0.0,1
0.6,0.25,91.73699015471168,91.74590385094959,91.88183253872931,arithmetic,3560,0.2,true,0.0,1
0.7,0.25,91.77215189873418,91.77831760924288,91.98611697923576,harmonic,3560,0.2,true,0.0,1
0.8,0.1,91.49085794655414,91.49972309014044,91.67303356110179,L^2,3560,0.2,true,0.0,1
0.7,0.1,91.1040787623066,91.09813821740347,91.36401306705825,maximum,3560,0.2,true,0.0,1
0.9,0.0,90.50632911392405,90.5017189648814,90.86445165260926,standard,3560,0.2,true,0.0,1
0.9,0.0,91.03375527426161,91.05662453103497,91.09757008987107,p0.5,3560,0.2,true,0.0,1
0.9,0.0,81.68073136427567,81.75020964939996,82.52143451274353,SAGE_Max,3560,0.2,true,0.0,1
0.9,0.0,81.25879043600563,81.28404138191941,81.94897421235629,SAGE_GCN,3560,0.2,true,0.0,1
0.7,0.25,86.56009473060983,86.59130195511472,87.36886597075953,geometric,3560,0.05,true,0.0,2
0.8,0.1,87.03374777975134,87.05095626449958,87.35903745757993,arithmetic,3560,0.05,true,0.0,2
0.7,0.25,85.79040852575488,85.83723565144855,87.10349408248813,harmonic,3560,0.05,true,0.0,2
0.5,0.1,86.32326820603907,86.3275129478527,86.89255782219729,L^2,3560,0.05,true,0.0,2
0.8,0.1,87.62581409117821,87.63607968052928,88.14197908903732,maximum,3560,0.05,true,0.0,2
0.8,0.0,82.11959739490823,82.08012070395422,82.58016998280385,standard,3560,0.05,true,0.0,2
0.9,0.0,81.52753108348135,81.55681006370764,81.72037568239118,p0.5,3560,0.05,true,0.0,2
0.9,0.0,66.10420367081113,65.77192963488089,72.14306327471172,SAGE_Max,3560,0.05,true,0.0,2
0.9,0.0,77.88632326820604,77.92320729918016,80.62427302842018,SAGE_GCN,3560,0.05,true,0.0,2
0.8,0.1,89.21875,89.19881019947644,89.66681202497288,geometric,3560,0.1,true,0.0,2
0.8,0.1,89.21875,89.21335993582606,89.44699911454012,arithmetic,3560,0.1,true,0.0,2
0.8,0.1,88.875,88.85849209172245,89.62499050579785,harmonic,3560,0.1,true,0.0,2
0.7,0.1,89.25,89.24301223126793,89.48136784312578,L^2,3560,0.1,true,0.0,2
0.8,0.1,89.40625,89.41147206037796,89.61260779006957,maximum,3560,0.1,true,0.0,2
0.9,0.0,86.5625,86.57080978005848,86.81232821484667,standard,3560,0.1,true,0.0,2
0.9,0.0,85.15625,85.18465576303247,85.2903724334669,p0.5,3560,0.1,true,0.0,2
0.9,0.0,78.8125,78.84435423363144,80.0364702756976,SAGE_Max,3560,0.1,true,0.0,2
0.9,0.0,76.125,76.10477055629438,78.83122379869359,SAGE_GCN,3560,0.1,true,0.0,2
0.7,0.25,90.63534083388485,90.62915549599023,90.6571261545034,geometric,3560,0.15,true,0.0,2
0.6,0.25,90.50297816015883,90.48924214919631,90.52642366749943,arithmetic,3560,0.15,true,0.0,2
0.7,0.25,90.80079417604236,90.79613382746817,90.82438103585602,harmonic,3560,0.15,true,0.0,2
0.8,0.1,90.40370615486432,90.39363785431472,90.42929668840554,L^2,3560,0.15,true,0.0,2
0.7,0.1,90.53606882859033,90.52836477118919,90.58719746904606,maximum,3560,0.15,true,0.0,2
0.8,0.0,89.24553275976174,89.2119273847831,89.4192176581877,standard,3560,0.15,true,0.0,2
0.9,0.0,88.12045003309066,88.13806299982042,88.1500382176569,p0.5,3560,0.15,true,0.0,2
0.9,0.0,78.88815354070152,78.74591136620336,80.35106131724628,SAGE_Max,3560,0.15,true,0.0,2
