α,β,acc,rec,prec,method_name,size,percentage_of_known_labels,balanced,noise,trial
0.9,0.0,54.72078150964298,55.46353093819704,85.29353226029268,p0.5,60000,0.007,true,0.0,1
0.9,0.0,83.24353357839435,82.99918253481351,83.50037907989312,SAGE_Max,60000,0.007,true,0.0,1
0.9,0.0,85.13184618225154,84.9039594029088,85.49613088109098,SAGE_GCN,60000,0.007,true,0.0,1
0.7,0.25,95.69085863257925,95.62551590225536,95.70485917358343,geometric,60000,0.009,true,0.0,1
0.7,0.25,95.93978639307039,95.865589928403,95.96778298098512,arithmetic,60000,0.009,true,0.0,1
0.7,0.25,95.63367252543941,95.56922550616532,95.64754436474958,harmonic,60000,0.009,true,0.0,1
0.7,0.25,96.04070305272896,95.96727597304337,96.0709015347763,L^2,60000,0.009,true,0.0,1
0.7,0.25,96.00706416617611,95.94091634929265,96.01608719007216,maximum,60000,0.009,true,0.0,1
0.9,0.0,94.59759481961147,94.51485064999154,94.61813103337813,standard,60000,0.009,true,0.0,1
0.9,0.0,62.652426204692624,63.37396947425991,86.11407138099221,p0.5,60000,0.009,true,0.0,1
0.9,0.0,85.11311075603398,84.88688695040791,85.49948008093497,SAGE_Max,60000,0.009,true,0.0,1
0.9,0.0,89.20696324951643,89.0813291457666,89.40980506810726,SAGE_GCN,60000,0.009,true,0.0,1
0.7,0.25,87.32836144618517,87.59884910581647,88.06333987054178,geometric,60000,0.001,true,0.0,2
0.7,0.25,89.58740010344195,89.80770145106594,89.86373722997341,arithmetic,60000,0.001,true,0.0,2
0.7,0.25,86.65932562523983,86.93326685933785,87.60190750882524,harmonic,60000,0.001,true,0.0,2
0.7,0.25,90.41827251947878,90.61928812342849,90.61651537609153,L^2,60000,0.001,true,0.0,2
0.7,0.25,91.25081335402172,91.37842232534028,91.34804227254122,maximum,60000,0.001,true,0.0,2
0.9,0.0,85.5615062482273,85.6733791462505,85.68826184481925,standard,60000,0.001,true,0.0,2
0.9,0.0,44.50506365016601,45.138317570773076,76.50487076206647,p0.5,60000,0.001,true,0.0,2
0.9,0.0,56.73623971837095,56.20276132452919,57.42209156137519,SAGE_Max,60000,0.001,true,0.0,2
0.9,0.0,68.00140147154512,67.73959521917192,68.80140887511976,SAGE_GCN,60000,0.001,true,0.0,2
0.7,0.25,94.100240738264,94.03753952736824,94.20070482144261,geometric,60000,0.003,true,0.0,2
0.4,0.55,94.68202487628729,94.6057263356613,94.75552916122552,arithmetic,60000,0.003,true,0.0,2
0.7,0.25,93.974856225759,93.91679035391095,94.07637317300444,harmonic,60000,0.003,true,0.0,2
0.4,0.55,94.8926708572957,94.81266339203447,94.96625936363496,L^2,60000,0.003,true,0.0,2
0.5,0.4,94.54660960278186,94.47068512802973,94.60396459397332,maximum,60000,0.003,true,0.0,2
0.9,0.0,92.33482680219339,92.25242485457976,92.4254498604243,standard,60000,0.003,true,0.0,2
0.9,0.0,52.34385448709376,53.22400661150888,83.00355127777911,p0.5,60000,0.003,true,0.0,2
0.9,0.0,75.69379430252775,75.32912577492769,75.80782554903148,SAGE_Max,60000,0.003,true,0.0,2
0.9,0.0,80.4400160492176,80.14798605492862,80.72743351570232,SAGE_GCN,60000,0.003,true,0.0,2
0.4,0.55,95.52056286121116,95.46621679190969,95.52719466384758,geometric,60000,0.005,true,0.0,2
0.4,0.55,95.81204455984589,95.7554525694438,95.82479220289729,arithmetic,60000,0.005,true,0.0,2
0.4,0.55,95.49040958204205,95.4365244609368,95.49722457418139,harmonic,60000,0.005,true,0.0,2
0.7,0.25,95.92595694781808,95.870839796654,95.93896958691082,L^2,60000,0.005,true,0.0,2
0.4,0.55,95.89245330429684,95.83838397756823,95.90192141050187,maximum,60000,0.005,true,0.0,2
0.9,0.0,94.11508501549544,94.04754058352344,94.11048703667811,standard,60000,0.005,true,0.0,2
0.9,0.0,58.53756596029819,59.33555999347473,84.63018305340843,p0.5,60000,0.005,true,0.0,2
0.9,0.0,83.67367451210319,83.38607155670014,84.75316329556838,SAGE_Max,60000,0.005,true,0.0,2
