α,β,acc,rec,prec,method_name,size,percentage_of_known_labels,balanced,noise,trial
0.8,0.0,76.32575757575758,72.83783276579415,76.72374560042003,standard,590,0.1,true,0.0,2
0.9,0.0,75.0,74.91707953646191,76.98560618795611,p0.5,590,0.1,true,0.0,2
0.9,0.0,65.3409090909091,63.74292300621116,69.62944516047651,SAGE_Max,590,0.1,true,0.0,2
0.9,0.0,49.053030303030305,82.11195165139533,51.78164129777033,SAGE_GCN,590,0.1,true,0.0,2
0.5,0.4,82.86290322580645,80.30968396320394,80.64397616021816,geometric,590,0.15,true,0.0,2
0.3,0.4,82.66129032258065,80.29727010233117,80.2408191319298,arithmetic,590,0.15,true,0.0,2
0.4,0.55,82.86290322580645,80.15856199169934,80.70576388546621,harmonic,590,0.15,true,0.0,2
0.3,0.25,82.25806451612904,79.81044156990373,79.7452369089906,L^2,590,0.15,true,0.0,2
0.8,0.1,82.86290322580645,80.80345924453404,80.90582671705869,maximum,590,0.15,true,0.0,2
0.6,0.0,77.62096774193549,73.57588040834119,76.61621562843668,standard,590,0.15,true,0.0,2
0.9,0.0,76.20967741935483,74.93086061247435,74.77607993311398,p0.5,590,0.15,true,0.0,2
0.9,0.0,60.88709677419355,57.30004996940464,64.34943764324578,SAGE_Max,590,0.15,true,0.0,2
0.9,0.0,59.87903225806451,62.25558903597588,59.08011522642524,SAGE_GCN,590,0.15,true,0.0,2
0.7,0.1,82.47863247863248,81.94743631500694,82.83360972781125,geometric,590,0.2,true,0.0,2
0.5,0.1,82.05128205128204,81.51239135197041,81.77848284001348,arithmetic,590,0.2,true,0.0,2
0.7,0.25,82.90598290598291,82.4962427941203,83.21622339747604,harmonic,590,0.2,true,0.0,2
0.8,0.1,83.76068376068376,82.9841752426007,83.26060065401151,L^2,590,0.2,true,0.0,2
0.5,0.25,83.76068376068376,83.12755316793353,82.90069798100836,maximum,590,0.2,true,0.0,2
0.8,0.0,78.63247863247864,75.53606677630421,79.75490644131548,standard,590,0.2,true,0.0,2
0.9,0.0,76.70940170940172,77.19850187560672,78.63637775571368,p0.5,590,0.2,true,0.0,2
0.9,0.0,74.14529914529915,70.77331554912834,70.99556080041532,SAGE_Max,590,0.2,true,0.0,2
0.9,0.0,73.50427350427351,71.31978307047397,72.114524125831,SAGE_GCN,590,0.2,true,0.0,2
0.8,0.1,78.9568345323741,76.98092603153704,79.94108521572983,geometric,590,0.05,true,0.0,3
0.5,0.4,81.29496402877699,79.4405469645105,80.70663591702531,arithmetic,590,0.05,true,0.0,3
0.8,0.1,76.43884892086331,73.88787322524274,80.20138264431687,harmonic,590,0.05,true,0.0,3
0.3,0.4,81.65467625899281,80.05585077834372,81.28021638553932,L^2,590,0.05,true,0.0,3
0.3,0.4,82.01438848920863,80.58818400502898,81.8288793317856,maximum,590,0.05,true,0.0,3
0.4,0.0,74.28057553956835,70.28463331861825,71.41727373797156,standard,590,0.05,true,0.0,3
0.9,0.0,71.40287769784173,70.47751015557935,75.22494467369255,p0.5,590,0.05,true,0.0,3
0.9,0.0,64.74820143884892,62.22448132063849,66.40943274696963,SAGE_Max,590,0.05,true,0.0,3
0.9,0.0,37.410071942446045,64.66168127663823,37.635949195731804,SAGE_GCN,590,0.05,true,0.0,3
0.4,0.55,83.33333333333334,80.76066407434853,81.56177579985031,geometric,590,0.1,true,0.0,3
0.6,0.25,84.0909090909091,81.90773624022802,82.29976950510526,arithmetic,590,0.1,true,0.0,3
0.7,0.25,82.57575757575758,80.11599797469057,82.21983688857024,harmonic,590,0.1,true,0.0,3
0.5,0.25,83.90151515151516,81.57878887180698,82.00343952127527,L^2,590,0.1,true,0.0,3
0.5,0.4,84.84848484848484,82.28478721371924,83.11561094629319,maximum,590,0.1,true,0.0,3
0.6,0.0,78.4090909090909,74.87154369075797,76.71656511850776,standard,590,0.1,true,0.0,3
0.9,0.0,74.81060606060606,74.66303991903077,76.88900547806162,p0.5,590,0.1,true,0.0,3
0.9,0.0,69.6969696969697,65.61335098047691,65.79484933569736,SAGE_Max,590,0.1,true,0.0,3
0.9,0.0,56.81818181818182,66.86846736822466,68.58855163613163,SAGE_GCN,590,0.1,true,0.0,3
0.8,0.1,83.87096774193549,82.90281100188133,83.9572824658809,geometric,590,0.15,true,0.0,3
0.4,0.4,82.45967741935483,80.67938998048882,81.83717382042653,arithmetic,590,0.15,true,0.0,3
0.7,0.25,83.06451612903226,82.02733616807318,83.41999294714168,harmonic,590,0.15,true,0.0,3
0.7,0.25,82.86290322580645,80.71488074640422,82.28643231553946,L^2,590,0.15,true,0.0,3
0.6,0.25,82.86290322580645,81.28777079720297,82.1098390148861,maximum,590,0.15,true,0.0,3
0.8,0.0,75.40322580645162,70.25673541877444,77.11170257979515,standard,590,0.15,true,0.0,3
0.9,0.0,76.61290322580645,75.95619573191938,78.55624761564673,p0.5,590,0.15,true,0.0,3
0.9,0.0,64.11290322580645,60.99722640403365,64.09873045513396,SAGE_Max,590,0.15,true,0.0,3
0.9,0.0,65.92741935483872,79.6621293460292,67.7298516380357,SAGE_GCN,590,0.15,true,0.0,3
0.4,0.55,86.11111111111111,84.16277435196223,85.47089688170499,geometric,590,0.2,true,0.0,3
0.5,0.25,86.32478632478633,84.3947432333075,85.56057403246706,arithmetic,590,0.2,true,0.0,3
0.7,0.25,86.11111111111111,84.31000419251507,85.88799655953525,harmonic,590,0.2,true,0.0,3
0.4,0.25,86.11111111111111,84.20309563605349,85.24181749921193,L^2,590,0.2,true,0.0,3
0.3,0.4,85.8974358974359,83.96724657944971,85.3121266035736,maximum,590,0.2,true,0.0,3
0.3,0.0,80.98290598290599,78.49329862542692,79.44646331432871,standard,590,0.2,true,0.0,3
0.9,0.0,75.21367521367522,76.21651548654206,81.80784525343641,p0.5,590,0.2,true,0.0,3
0.9,0.0,70.51282051282051,68.26744037355992,71.07313095898904,SAGE_Max,590,0.2,true,0.0,3
0.9,0.0,66.88034188034187,63.77142771399564,70.9495212559053,SAGE_GCN,590,0.2,true,0.0,3
0.7,0.1,79.67625899280576,78.02349785528926,80.41536157009368,geometric,590,0.05,true,0.0,4
0.7,0.1,83.45323741007195,83.09886738817069,83.53037409150204,arithmetic,590,0.05,true,0.0,4
0.8,0.1,79.13669064748201,77.17272019113656,79.79233952727168,harmonic,590,0.05,true,0.0,4
0.6,0.1,82.37410071942446,81.9204808683733,82.61549724624496,L^2,590,0.05,true,0.0,4
0.6,0.1,80.39568345323741,79.39414763069404,79.6184369249196,maximum,590,0.05,true,0.0,4
0.5,0.0,75.89928057553958,74.34571662979742,74.86336397376648,standard,590,0.05,true,0.0,4
0.9,0.0,73.38129496402878,73.84225051431798,75.24514672537337,p0.5,590,0.05,true,0.0,4
0.9,0.0,51.2589928057554,50.28362892460255,60.226541475021556,SAGE_Max,590,0.05,true,0.0,4
0.9,0.0,65.46762589928058,70.08382070129814,68.53113824108397,SAGE_GCN,590,0.05,true,0.0,4
0.7,0.25,83.52272727272727,81.91369732984288,82.63991828205889,geometric,590,0.1,true,0.0,4
0.6,0.1,84.28030303030303,82.61479059933318,82.71397290352392,arithmetic,590,0.1,true,0.0,4
0.7,0.25,81.62878787878788,80.35127146483643,82.00750992883367,harmonic,590,0.1,true,0.0,4
0.6,0.1,84.0909090909091,82.12199545078526,82.4639527985626,L^2,590,0.1,true,0.0,4
0.6,0.1,81.06060606060606,76.74246833548706,79.20930678417581,maximum,590,0.1,true,0.0,4
0.7,0.0,77.08333333333334,72.23855529781372,75.95597740210906,standard,590,0.1,true,0.0,4
0.8,0.0,74.0530303030303,73.21808738210245,75.02238496694142,p0.5,590,0.1,true,0.0,4
0.8,0.0,63.25757575757576,60.56839890432142,63.85592338309893,SAGE_Max,590,0.1,true,0.0,4
0.8,0.0,56.060606060606055,50.12160020397858,54.526392807933,SAGE_GCN,590,0.1,true,0.0,4
0.7,0.1,85.08064516129032,83.75839934532871,83.48274637603072,geometric,590,0.15,true,0.0,4
0.8,0.1,85.48387096774194,83.58388695887997,84.2801962697417,arithmetic,590,0.15,true,0.0,4
0.7,0.25,85.28225806451613,83.81661418218938,83.8059109227241,harmonic,590,0.15,true,0.0,4
0.5,0.1,84.67741935483872,82.88875330609201,83.20390259584447,L^2,590,0.15,true,0.0,4
0.7,0.25,84.67741935483872,81.98289010608637,83.62359712757659,maximum,590,0.15,true,0.0,4
0.7,0.0,80.44354838709677,76.41916083454441,80.70531179377036,standard,590,0.15,true,0.0,4
0.9,0.0,76.61290322580645,75.19821952276385,76.21141209181805,p0.5,590,0.15,true,0.0,4
0.9,0.0,74.39516129032258,71.06113170209642,74.33235225886612,SAGE_Max,590,0.15,true,0.0,4
0.9,0.0,68.95161290322581,64.48725874980171,65.74570745637554,SAGE_GCN,590,0.15,true,0.0,4
0.7,0.25,86.32478632478633,84.5771008323061,84.5417058174171,geometric,590,0.2,true,0.0,4
0.7,0.1,85.8974358974359,84.44218941159747,84.38748521189672,arithmetic,590,0.2,true,0.0,4
0.4,0.55,86.11111111111111,84.31057030705253,84.24984095559222,harmonic,590,0.2,true,0.0,4
0.6,0.1,85.68376068376068,84.26857830048637,84.33693308390929,L^2,590,0.2,true,0.0,4
0.7,0.25,85.04273504273505,83.3445764533707,83.57552438884562,maximum,590,0.2,true,0.0,4
0.8,0.0,82.47863247863248,78.67578326182844,81.4684461725956,standard,590,0.2,true,0.0,4
0.9,0.0,79.27350427350427,78.6896954402207,80.10550625005727,p0.5,590,0.2,true,0.0,4
0.9,0.0,72.86324786324786,69.556172865188,72.98188219710686,SAGE_Max,590,0.2,true,0.0,4
0.9,0.0,60.470085470085465,62.10625081098097,62.67523006724216,SAGE_GCN,590,0.2,true,0.0,4
0.7,0.1,78.23741007194245,78.04944953008699,80.56212195338908,geometric,590,0.05,true,0.0,5
0.4,0.1,80.2158273381295,79.98552165847038,80.45209145793837,arithmetic,590,0.05,true,0.0,5
0.8,0.1,74.46043165467626,74.1509538003595,79.43464399539737,harmonic,590,0.05,true,0.0,5
0.4,0.1,81.4748201438849,81.03645422661958,80.95738795903058,L^2,590,0.05,true,0.0,5
0.6,0.1,82.37410071942446,80.49340282629193,81.95647574107946,maximum,590,0.05,true,0.0,5
