α,β,acc,rec,prec,method_name,size,percentage_of_known_labels,balanced,noise,trial
0.4,0.55,78.19430485762145,78.19430485762145,77.75330281632388,maximum,60000,0.005,true,0.0,2
0.9,0.0,77.04857621440536,77.04857621440536,76.79349168294156,standard,60000,0.005,true,0.0,2
0.9,0.0,62.42378559463987,62.42378559463986,68.93780796970157,p0.5,60000,0.005,true,0.0,2
0.9,0.0,71.87604690117253,71.87604690117253,71.91356694845747,SAGE_Max,60000,0.005,true,0.0,2
0.9,0.0,75.6750418760469,75.6750418760469,75.28914735006018,SAGE_GCN,60000,0.005,true,0.0,2
0.4,0.55,78.88888888888889,78.8888888888889,79.20737635492016,geometric,60000,0.007,true,0.0,2
0.7,0.25,79.04665995300437,79.04665995300437,79.25541150512619,arithmetic,60000,0.007,true,0.0,2
0.7,0.25,78.55488418932528,78.55488418932526,79.06737342997855,harmonic,60000,0.007,true,0.0,2
0.7,0.25,79.03994629070158,79.03994629070158,79.1778856773677,L^2,60000,0.007,true,0.0,2
0.7,0.25,79.03826787512588,79.03826787512587,78.9021435524355,maximum,60000,0.007,true,0.0,2
0.9,0.0,78.68412218865392,78.6841221886539,78.85129334987975,standard,60000,0.007,true,0.0,2
0.9,0.0,65.03860355824102,65.03860355824102,71.0343954274633,p0.5,60000,0.007,true,0.0,2
0.9,0.0,74.24135615978517,74.24135615978516,73.88803684748302,SAGE_Max,60000,0.007,true,0.0,2
0.9,0.0,77.1819402484055,77.1819402484055,77.47154369737206,SAGE_GCN,60000,0.007,true,0.0,2
0.4,0.55,78.60914900773629,78.60914900773628,78.47665474160917,geometric,60000,0.009,true,0.0,2
0.4,0.55,78.84123780692903,78.84123780692902,78.61805123700213,arithmetic,60000,0.009,true,0.0,2
0.4,0.55,78.48469559367642,78.48469559367642,78.36915804350393,harmonic,60000,0.009,true,0.0,2
0.4,0.55,78.69828456104945,78.69828456104943,78.42997020761514,L^2,60000,0.009,true,0.0,2
0.3,0.55,78.48974100235453,78.48974100235452,78.236497548608,maximum,60000,0.009,true,0.0,2
0.9,0.0,77.88429196098218,77.88429196098218,77.67413070778457,standard,60000,0.009,true,0.0,2
0.9,0.0,72.80861083081062,72.80861083081064,73.25704443985816,p0.5,60000,0.009,true,0.0,2
0.9,0.0,74.93440968718467,74.93440968718467,74.95936722059547,SAGE_Max,60000,0.009,true,0.0,2
0.9,0.0,77.66733938782374,77.66733938782374,77.49380458079436,SAGE_GCN,60000,0.009,true,0.0,2
0.4,0.55,70.91424758091425,70.91424758091425,70.92229946078841,geometric,60000,0.001,true,0.0,3
0.4,0.55,71.54154154154155,71.54154154154153,71.30874447352944,arithmetic,60000,0.001,true,0.0,3
0.4,0.55,70.88755422088755,70.88755422088755,70.96054311151534,harmonic,60000,0.001,true,0.0,3
0.4,0.55,71.8702035368702,71.8702035368702,71.53805141957582,L^2,60000,0.001,true,0.0,3
